counter,start,storeDLT,storeKfrags,finish
0,3382,5172,115,67,110
8,3410,15745,110,64,112
18,3990,25498,114,61,104
19,3877,33316,147,129,104
5,10977,34074,110,67,103
1,23662,27907,110,59,102
11,31659,26227,113,72,108
16,34527,26718,113,100,104
2,39722,33279,122,62,116
3,33240,38811,111,74,124
9,35952,38345,113,68,110
6,28246,31654,111,62,104
12,31323,38724,116,66,103
15,28586,44258,111,90,107
13,41023,24936,112,62,102
4,49077,10445,121,65,104
10,43917,15535,110,78,107
7,43030,21634,114,65,110
14,48308,28524,110,59,105
17,8759,4823,109,59,105
