counter,start,storeDLT,storeKfrags,finish
0,2661,5913,111,68,113
3,2546,10375,118,72,103
1,2660,15084,108,61,121
2,2465,18917,115,80,116
7,11318,15896,113,66,134
8,15511,15223,135,60,109
9,18585,15685,114,70,110
12,16862,19430,118,68,110
6,17251,23894,116,66,111
5,17023,27740,110,64,111
15,16499,32801,118,78,116
19,15549,36652,111,73,107
16,13379,31854,111,98,102
4,13501,37787,111,70,120
11,28999,22307,119,74,105
17,37499,18523,115,65,110
10,30692,13814,114,70,114
14,26384,17807,115,64,105
18,25906,22005,111,62,103
13,13916,6308,110,69,110
