counter,start,storeDLT,storeKfrags,finish
0,2661,5784,110,69,104
3,2546,10266,117,59,109
1,2660,14970,113,69,106
2,2465,19132,112,69,107
7,11318,15782,122,75,109
8,15511,15111,118,75,103
9,18585,15574,109,67,111
12,16862,19538,113,73,116
6,17251,23781,111,66,112
5,17023,27180,118,85,103
15,16499,32691,115,70,120
19,15549,36542,124,61,113
16,13379,31966,127,68,111
4,13501,35784,138,63,104
11,28999,23091,130,91,105
17,37499,18304,122,69,105
10,30692,13471,111,66,105
14,26384,17694,111,70,114
18,25906,21899,123,62,105
13,13916,6528,123,62,103
