counter,start,storeDLT,storeKfrags,finish
0,3703,6977,116,66,122
6,3619,13559,127,74,112
5,1548,20759,110,63,109
1,2638,27043,111,76,121
3,28624,9759,110,65,136
10,27176,17056,110,59,109
2,27358,24064,109,63,118
4,23484,29428,120,69,108
8,24988,35746,113,66,107
11,20535,42937,110,69,104
9,24171,49414,112,62,105
14,19234,54839,120,65,107
19,5141,61557,111,70,111
12,11073,68115,118,66,107
13,6768,74605,122,76,109
18,17860,65932,109,64,106
17,43556,6160,113,62,105
7,41654,13473,111,72,105
16,10566,21892,111,70,120
15,16509,12024,116,65,105
