counter,start,storeDLT,storeKfrags,finish
1,4968,7293,109,68,113
6,2833,14757,128,81,104
0,5979,22189,111,63,104
3,4852,27574,112,58,103
9,3192,32751,112,65,107
13,28865,15927,114,63,107
5,29398,14573,114,64,106
14,16500,20433,112,66,109
4,19092,26501,115,66,110
8,14978,31827,110,65,111
2,19234,39476,111,80,105
11,8853,38294,111,67,114
10,9190,44899,121,87,108
7,41345,6590,110,70,106
12,37681,12937,113,82,113
18,27930,18857,116,65,109
16,16101,25569,111,66,114
17,7769,8596,121,63,105
19,4542,6421,115,63,105
15,2703,7215,110,61,106
