counter,start,storeDLT,storeKfrags,finish
0,2925,6130,112,64,102
2,3282,17924,131,68,102
1,2969,23965,112,74,103
17,23793,21750,112,64,102
7,23776,33706,111,63,108
3,35538,32450,119,64,103
11,34870,42969,113,75,102
6,32641,55230,113,69,110
5,33331,61881,112,66,104
15,33656,74896,114,62,103
12,25465,84761,111,63,104
8,22984,101237,119,62,107
14,22419,106314,114,67,102
16,20976,118652,112,65,108
18,39254,104282,117,58,102
9,34993,114112,125,64,102
10,72794,81624,114,65,105
4,73059,93762,111,65,106
13,107676,48512,122,66,103
19,99021,36584,111,64,102
