counter,start,storeDLT,storeKfrags,finish
0,2925,4901,120,64,103
2,3282,14730,115,67,111
1,2969,26558,113,76,104
17,23793,19212,113,61,105
7,23776,29141,113,60,103
3,35538,30917,110,61,103
11,34870,46107,119,68,104
6,32641,52116,118,65,108
5,33331,65558,115,61,102
15,33656,78720,113,62,107
12,25465,85557,118,61,108
8,22984,95075,111,66,103
14,22419,105414,110,61,108
16,20976,115419,113,72,102
18,39254,107890,112,62,126
9,34993,114007,111,70,109
10,72794,84779,110,63,108
4,73059,93217,112,63,102
13,107676,45834,120,61,109
19,99021,34466,110,76,101
