counter,start,storeDLT,storeKfrags,finish
0,3689,7737,117,135,124
2,2176,13680,111,67,102
12,3384,19145,112,61,158
1,4500,23553,111,70,115
9,16438,19347,113,62,104
3,15450,24132,117,65,104
14,22330,20407,120,67,102
4,20526,24200,114,63,102
5,20321,29520,110,63,109
7,18311,34740,110,59,101
19,18535,39260,109,77,109
6,17663,44456,110,62,102
11,26775,39865,122,67,103
13,21442,43621,109,58,101
18,26538,51558,109,65,103
17,42775,22185,114,76,119
16,42811,27537,117,66,111
8,37366,15380,117,66,106
10,26007,20707,110,68,109
15,3416,8154,112,64,105
