counter,start,storeDLT,storeKfrags,finish
0,2922,3955,111,64,117
17,3253,13536,108,66,114
1,3814,24733,116,77,106
5,33477,8721,113,63,110
2,34062,18021,124,65,111
4,32819,30381,112,66,115
8,34778,47166,120,68,106
16,33358,51988,109,66,109
7,31398,61156,114,77,106
12,31914,76525,115,63,114
10,29694,83035,120,73,120
9,28531,92959,126,66,105
3,23485,104028,113,65,113
6,23285,115084,113,62,112
14,8782,125459,113,58,105
11,71207,72986,143,64,106
18,125016,25962,113,63,111
19,115307,24507,114,64,116
15,104998,36625,111,70,116
13,89157,46078,117,65,108
