counter,start,storeDLT,storeKfrags,finish
0,2922,9333,110,63,105
17,3253,20671,122,69,108
1,3814,29909,110,59,107
5,33477,9487,112,63,107
2,34062,21373,110,66,105
4,32819,36710,115,76,112
8,34778,43126,125,72,115
16,33358,56235,118,67,111
7,31398,67994,111,63,117
12,31914,80983,120,77,114
10,29694,92180,116,60,108
9,28531,94756,111,65,113
3,23485,110940,109,65,107
6,23285,121154,113,64,112
14,8782,133550,112,78,104
11,71207,78012,111,72,114
18,125016,32443,115,64,108
19,115307,30397,118,84,110
15,104998,42064,114,70,111
13,89157,52776,130,57,104
