counter,start,storeDLT,storeKfrags,finish
0,2087,2152,46,64,47
2,2088,2166,140,67,27
1,2077,2152,98,94,28
7,2079,2130,50,40,56
4,2079,2107,31,75,56
3,2081,2135,35,31,28
6,2072,2138,99,52,57
8,2074,2061,24,23,22
5,2069,2140,29,48,25
9,2080,2075,21,54,51
