counter,start,storeDLT,storeKfrags,finish
0,2860,14040,112,68,106
2,3026,19916,116,63,104
5,3499,26526,110,69,105
3,3730,41706,121,73,102
7,3527,50772,110,64,107
10,3801,58644,113,70,108
4,3997,68090,113,66,105
1,42292,42218,137,68,111
12,71351,24673,117,62,102
14,67431,32962,115,64,108
18,66264,43767,119,71,102
9,61290,50608,112,65,102
16,49895,62557,115,62,107
6,50305,71990,111,65,105
8,44468,70960,121,66,106
15,44490,80496,110,71,107
13,41230,89783,111,66,108
19,39759,98207,110,64,103
11,32251,109437,116,65,102
17,2903,10524,129,64,106
