counter,start,storeDLT,storeKfrags,finish
0,2770,8402,170,76,103
2,2917,15011,109,62,104
1,1640,21553,118,74,110
3,18590,10578,115,65,122
12,18643,15116,109,60,109
10,19005,23061,110,64,109
5,14437,29586,124,62,113
4,10079,34997,112,66,109
6,10993,41206,116,67,113
8,11060,46693,120,64,106
7,43920,9361,110,66,122
9,47264,14419,114,58,103
15,40544,22216,111,61,104
14,46402,23564,118,62,107
17,48474,35252,111,70,104
18,16747,40686,121,70,109
11,12760,46899,115,68,112
16,13083,53388,116,66,106
13,34847,4969,110,65,109
19,2735,8855,126,64,105
