counter,start,storeDLT,storeKfrags,finish
13,1776,5720,109,67,106
0,2502,8150,110,58,111
1,2636,10933,109,62,115
15,2674,14055,110,65,109
5,8377,5483,116,70,104
3,8609,8726,118,67,111
14,7152,12320,116,67,111
4,6514,15213,111,71,123
2,3090,18400,127,70,111
11,9162,14104,133,65,105
6,18660,7318,110,68,116
12,12209,10541,116,80,127
9,10393,10200,110,58,104
18,2485,4769,129,65,133
17,2361,5334,120,87,109
10,4195,7987,111,100,111
16,4380,5291,127,63,121
7,4834,5337,112,63,109
8,2508,4650,118,69,103
19,2519,4313,111,69,114
