counter,start,storeDLT,storeKfrags,finish
17,9293,5839,110,82,103
6,8636,12035,109,67,103
1,9518,15247,153,69,104
2,7496,20697,151,65,103
4,9574,28175,114,69,110
0,10035,33752,125,65,101
18,28251,15931,112,94,114
8,33493,11034,148,69,116
9,36240,16442,134,61,103
3,36476,21211,110,65,108
13,43838,27797,109,61,171
10,22521,32481,109,65,108
11,15901,28937,116,69,115
5,24228,35349,136,147,101
7,14656,45745,113,88,146
12,19172,50119,117,134,104
15,37727,25442,115,61,102
14,51673,23909,435,522,258
19,44738,7605,109,123,120
16,8900,2815,117,67,165
