counter,start,storeDLT,storeKfrags,finish
0,2620,6498,121,79,103
4,2525,9547,117,63,105
6,2555,13136,114,66,104
8,2449,17280,145,69,103
2,2635,22847,114,68,102
1,2913,25585,119,74,109
3,26601,4245,112,70,120
9,22089,9194,109,61,103
16,21486,13913,111,64,106
13,21307,18094,111,68,109
12,6574,22273,118,63,102
5,11364,17212,111,68,111
14,23808,8580,138,61,101
10,22855,13094,108,64,106
15,21526,18321,119,63,108
7,12827,16465,125,66,102
11,15473,5060,124,72,103
18,2535,7568,111,60,103
17,2576,4345,111,60,103
19,2556,6236,116,68,112
