counter,start,storeDLT,storeKfrags,finish
0,2875,6433,110,66,109
1,3804,14807,111,66,128
9,2882,30016,119,71,115
7,31998,12790,116,63,105
19,34832,21911,111,65,114
8,32312,31444,108,75,114
3,32275,45819,112,67,111
6,31193,52465,111,66,109
12,31644,64219,114,73,116
5,31143,77670,110,63,133
2,29567,84127,136,66,111
15,29398,99240,129,69,104
13,27425,105922,111,67,112
10,22034,116524,112,72,115
4,102898,30141,118,77,112
17,120619,17302,116,65,105
11,115580,33684,116,68,108
16,121933,35950,112,67,113
14,105569,50605,110,64,114
18,32986,63625,108,68,108
