counter,start,storeDLT,storeKfrags,finish
3,7995,8495,117,65,114
7,11541,16545,115,65,111
10,13077,24600,129,136,114
1,11825,36336,135,71,114
0,14321,39354,117,67,116
14,13646,46916,125,74,111
2,10210,57836,114,64,109
11,5413,61386,186,67,110
4,17071,72139,122,69,112
17,14136,81854,122,65,111
5,12871,86728,119,69,113
12,85317,17784,126,69,112
6,86273,18517,121,70,112
16,61654,23309,133,69,113
15,22383,31286,140,80,113
13,31234,40942,114,71,122
19,57638,49684,114,70,124
9,28325,58090,118,65,109
18,17321,65981,129,78,120
8,15818,67266,128,63,111
