counter,start,storeDLT,storeKfrags,finish
0,2832,7228,112,74,112
4,3033,21172,109,63,103
7,2987,30973,110,63,104
6,3383,35363,109,62,103
5,24613,30822,116,69,109
1,42867,20976,112,63,124
8,42705,29366,116,63,105
3,41975,40336,110,72,110
2,41517,57037,109,70,107
19,40994,68107,109,59,103
11,41412,73639,114,80,106
9,34405,86840,114,65,104
10,37925,82767,110,59,104
18,34438,95084,111,69,117
12,17260,105845,114,65,113
14,81703,50161,113,68,106
17,84176,50625,110,68,105
15,98894,27219,123,76,102
16,85678,37542,118,58,110
13,95902,53232,113,70,107
