counter,start,storeDLT,storeKfrags,finish
0,2845,7072,111,74,102
1,2662,17249,135,63,105
11,3033,25896,110,61,105
6,2643,35672,110,80,106
7,12088,35655,123,67,109
2,29587,30557,121,68,103
4,37154,30151,124,68,112
3,38137,38997,170,66,102
13,35910,50970,110,68,103
8,35065,60078,115,75,109
19,32837,65203,117,98,104
17,31551,76289,123,81,104
14,37426,71607,115,68,109
5,33205,81197,111,68,109
15,26156,92384,113,72,106
10,25975,98076,112,62,105
9,25962,106237,118,95,112
16,25941,105626,110,66,105
12,51371,85366,118,64,103
18,90178,14748,112,68,112
