counter,start,storeDLT,storeKfrags,finish
1,1444,1668,63,40,93,10
0,1173,1184,13,10,29,17
4,2424,1135,7,7,9,12
8,2430,2262,5,7,12,14
9,1074,3642,9,12,13,7
10,2088,5747,8,14,22,5
16,1076,6687,11,10,39,13
13,2095,7062,13,11,27,19
5,7610,3452,6,13,20,41
11,2123,3956,10,13,14,12
14,2115,4589,6,22,24,5
3,5557,5283,12,15,22,13
2,2397,6258,14,14,16,9
19,5716,3414,6,6,8,4
6,5991,1257,13,17,12,14
12,3203,1741,5,8,11,13
17,2424,1177,9,6,13,6
7,1092,1102,7,14,26,10
18,1078,3014,8,14,36,17
15,1221,1385,5,5,9,4
