counter,start,storeDLT,storeKfrags,finish
0,2594,5726,112,72,115
14,2819,8855,145,65,104
6,3023,12682,110,67,105
4,2813,17880,109,73,105
2,2877,23478,108,65,110
1,3045,26414,126,59,103
15,3303,31352,113,62,106
7,19785,18133,113,104,104
16,27686,14653,110,73,105
3,26562,12840,111,68,110
18,26502,17230,119,79,105
13,24154,21490,112,83,112
11,17950,25588,110,65,118
10,18530,25664,117,72,110
12,24746,7925,110,66,116
17,23921,12886,116,66,112
5,16065,11712,112,70,123
8,9528,4214,116,67,114
9,1513,6251,112,67,103
19,1594,4567,109,63,118
