counter,start,storeDLT,storeKfrags,finish
0,2944,6007,122,75,112
16,3265,17493,116,69,110
10,12239,18700,128,69,107
3,22424,18377,116,72,121
1,22028,23798,119,90,109
4,23081,37066,120,71,108
2,20123,46408,119,78,107
17,19287,56254,122,71,107
5,17740,63753,120,76,140
18,17842,63886,117,76,118
14,15304,72689,118,84,119
9,63417,30281,116,71,112
7,68276,19363,122,68,109
6,68147,24977,127,89,116
8,71836,38355,117,67,116
12,62106,52083,117,70,108
15,65787,57356,121,79,108
11,47280,65258,136,69,107
13,48805,72403,126,72,109
19,20584,6353,116,74,107
