counter,start,storeDLT,storeKfrags,finish
0,2623,3971,112,66,131
2,1428,7728,111,65,114
1,2468,12173,112,60,108
7,3693,14663,110,61,104
4,12749,9776,112,76,105
6,18353,8592,109,66,105
5,18944,12589,110,65,104
3,19136,16837,110,68,104
10,15390,20564,115,70,107
8,13667,25055,109,66,111
18,12362,28231,108,73,121
13,10560,30015,109,71,116
14,31022,8227,120,66,114
15,30305,12379,116,62,106
9,29247,16410,121,73,107
16,28536,20805,113,62,107
12,24107,19269,114,64,109
17,11737,24415,112,67,118
19,26386,3884,116,67,133
11,19705,8119,109,66,104
