counter,start,storeDLT,storeKfrags,finish
2,12761,10114,126,145,165
0,4886,21027,428,124,117
13,11342,15747,175,87,168
7,10342,21294,218,84,102
8,14179,30798,122,64,106
5,14011,35128,112,67,118
10,11570,41102,109,66,114
3,13419,48348,113,72,122
16,11525,56565,111,63,128
1,12966,60021,113,64,113
4,14322,58480,113,62,103
6,18748,66838,127,384,293
12,15217,72648,114,64,103
19,-1,-1,-1,-1,-1
11,441049,29304,2934,2081,6244
18,451845,118579,110,63,165
9,444441,124956,110,67,133
15,369580,128386,110,202,117
17,423854,128526,113,77,103
14,463833,133544,115,66,111
