counter,start,storeDLT,storeKfrags,finish
0,2632,6656,112,61,109
6,2494,10926,115,70,107
14,10867,7319,125,68,109
1,8356,9365,119,63,105
3,7833,15613,110,62,112
12,7911,19696,111,80,122
10,6075,23949,114,71,109
2,6321,28105,112,67,107
9,2218,32669,117,66,115
4,6011,36932,110,62,105
13,2944,41093,113,73,104
16,38007,6541,111,63,105
11,20511,10846,113,67,109
8,39210,14971,110,71,111
7,19517,19365,124,77,104
15,19790,4485,119,88,113
5,15910,10990,113,64,108
17,2506,14617,124,66,110
19,11641,6677,111,63,111
18,2574,6574,111,63,109
