counter,start,storeDLT,storeKfrags,finish
0,2905,7114,116,72,104
4,3214,23828,111,61,102
2,2735,34184,111,71,115
7,35130,18868,113,69,106
1,35592,26806,110,65,115
11,35546,39612,111,63,104
12,34573,50601,113,64,112
19,34320,59359,112,74,123
3,34088,70249,118,60,105
8,27121,80800,111,59,109
17,26241,91571,111,74,105
6,26238,102923,113,65,107
13,23763,110933,115,76,110
5,21964,124131,113,70,113
16,16806,136839,114,63,111
10,19075,147282,119,77,104
14,113944,47576,117,65,105
9,147913,20717,111,64,107
18,142906,33721,113,68,111
15,46181,43809,112,65,110
