counter,start,storeDLT,storeKfrags,finish
0,2905,3215,114,64,112
4,3214,14193,112,66,109
2,2735,26703,111,65,141
7,35130,10231,113,64,106
1,35592,24946,149,66,105
11,35546,31700,112,65,108
12,34573,49937,112,64,107
19,34320,51118,112,74,106
3,34088,61782,112,75,111
8,27121,74136,109,65,108
17,26241,83335,112,71,112
6,26238,97018,110,66,117
13,23763,103796,115,69,115
5,21964,116861,112,66,112
16,16806,124785,113,65,103
10,19075,138058,115,65,110
14,113944,38558,115,64,104
9,147913,18539,113,62,108
18,142906,24042,110,66,139
15,46181,34303,110,61,104
