counter,start,storeDLT,storeKfrags,finish
0,2905,2802,113,69,104
4,3214,14085,112,66,107
2,2735,24414,114,66,110
7,35130,8017,115,63,105
1,35592,24067,109,58,103
11,35546,31918,116,66,112
12,34573,49833,110,65,105
19,34320,51002,112,73,124
3,34088,60948,113,66,107
8,27121,74352,113,67,115
17,26241,83554,118,66,109
6,26238,97129,115,67,115
13,23763,103019,110,61,103
5,21964,117095,113,77,109
16,16806,125675,119,68,106
10,19075,138164,133,64,107
14,113944,38974,114,67,105
9,147913,18435,113,68,102
18,142906,23616,117,64,113
15,46181,34196,109,66,105
