counter,start,storeDLT,storeKfrags,finish
0,2905,3434,112,64,103
4,3214,13872,114,64,103
2,2735,24005,114,70,111
7,35130,8584,109,59,105
1,35592,25282,110,65,109
11,35546,29697,112,68,113
12,34573,39931,109,70,108
19,34320,50785,112,63,113
3,34088,60420,108,65,107
8,27121,74580,113,66,107
17,26241,83887,108,67,107
6,26238,98793,113,65,108
13,23763,102872,123,68,103
5,21964,117527,112,64,111
16,16806,125446,110,63,127
10,19075,137169,120,65,106
14,113944,39734,109,72,107
9,147913,18754,118,86,104
18,142906,23935,110,64,110
15,46181,36524,112,91,104
