counter,start,storeDLT,storeKfrags,finish
0,2905,12252,110,65,106
4,3214,22308,110,65,108
2,2735,31619,115,65,106
7,35130,17191,112,64,103
1,35592,27892,114,64,104
11,35546,37152,119,65,106
12,34573,48592,113,63,111
19,34320,58018,111,69,103
3,34088,71031,110,65,111
8,27121,78456,110,68,112
17,26241,87783,113,67,111
6,26238,102595,109,62,107
13,23763,113491,119,66,109
5,21964,120961,117,63,110
16,16806,135094,111,62,106
10,19075,145556,118,68,105
14,113944,45565,110,62,107
9,147913,14429,111,69,102
18,142906,32088,118,67,104
15,46181,41856,114,67,110
