counter,start,storeDLT,storeKfrags,finish
0,2890,2078,111,61,103
4,2803,16368,115,67,111
6,14220,17840,110,64,113
2,22887,19291,114,58,108
1,22691,29907,113,74,109
7,23286,39259,111,63,104
19,21859,59528,111,67,110
18,19757,65695,111,62,106
5,20241,73216,110,63,111
8,15875,84418,115,77,104
17,26495,83390,109,67,104
3,26726,94523,108,67,106
16,21240,104618,130,76,109
12,21681,115343,110,62,107
15,50419,91723,112,62,105
13,72107,82436,110,68,103
9,87755,72252,110,67,113
14,105697,40553,113,69,107
10,94430,35780,117,66,110
11,89814,47656,109,68,112
