counter,start,storeDLT,storeKfrags,finish
3,7995,8619,125,82,109
7,11541,16661,128,63,126
10,13077,24715,152,67,119
1,11825,36219,116,71,114
0,14321,39223,118,63,113
14,13646,48035,115,67,115
2,10210,58707,117,63,111
11,5413,61271,123,67,114
4,17071,72257,118,77,114
17,14136,80432,117,65,110
5,12871,87758,133,65,113
12,85317,17898,115,78,120
6,86273,18631,122,64,132
16,61654,23546,120,91,119
15,22383,31523,135,71,109
13,31234,42043,120,72,123
19,57638,49803,117,72,125
9,28325,58224,114,63,114
18,17321,65845,128,86,193
8,15818,67114,117,77,110
