counter,start,storeDLT,storeKfrags,finish
0,2820,5068,128,69,102
11,2988,12546,122,69,110
4,3123,22654,111,69,102
7,3462,32358,117,72,104
1,3733,42344,111,66,105
19,32567,26145,111,68,103
3,52434,16429,111,65,104
18,52234,34067,114,59,102
9,52681,35606,112,62,107
15,45173,46169,112,68,102
17,42124,53781,112,68,105
5,44200,64531,111,66,108
10,40357,73380,111,65,111
12,40337,82611,109,65,102
8,29834,92258,111,68,106
2,33161,91396,114,64,103
13,30734,107294,109,72,107
16,93824,5584,120,60,107
6,81161,12085,111,65,104
14,2779,2459,109,59,102
