counter,start,storeDLT,storeKfrags,finish
0,1111,1109,26,26,59,9
2,1079,1180,14,10,49,8
3,1096,2498,17,32,98,8
1,1152,2091,21,52,50,31
6,1663,1519,13,40,17,11
12,1587,1576,11,8,11,6
7,1600,1675,10,12,10,8
5,1800,1191,13,15,8,7
11,1068,1114,18,15,24,7
16,1080,1360,6,9,15,10
15,1071,1529,9,12,7,5
4,1433,1091,11,11,9,13
10,1102,1101,47,21,36,9
17,1119,1109,8,7,11,15
8,1070,1065,21,14,13,14
14,1046,1087,22,23,13,7
19,1140,1103,38,14,10,6
9,1117,1096,24,23,15,8
18,1099,1105,15,9,19,8
13,1090,1259,6,5,7,5
