counter,start,storeDLT,storeKfrags,finish
0,2886,5896,116,67,114
2,2894,15882,114,66,123
16,3250,24556,183,71,109
1,3561,32723,110,67,108
8,32359,20794,110,65,113
7,41985,20310,112,66,109
10,42397,27943,113,67,110
9,41993,38983,110,67,113
5,40184,47441,114,62,105
14,38033,57765,113,60,105
11,36002,66449,110,71,117
15,36302,77175,116,70,107
17,36446,89045,110,66,105
6,33613,96684,114,67,107
4,34357,104201,116,63,106
3,31616,113241,116,74,115
13,32024,122390,116,65,110
12,30320,133564,112,66,124
19,118208,4996,109,68,112
18,52636,13958,120,65,104
