counter,start,storeDLT,storeKfrags,finish
13,9053,11731,167,320,328
3,10726,13593,114,68,106
8,5948,23403,111,65,107
2,9551,28706,112,75,110
0,11676,31686,111,65,111
16,10774,46664,132,62,102
1,7152,48750,111,66,102
19,-1,-1,-1,-1,-1
15,117453,26534,4798,2077,715
12,106131,71433,113,61,167
9,115246,84870,324,161,144
18,90763,92540,125,595,311
4,125158,111899,259,67,162
5,109984,138303,108,61,142
7,95681,157370,110,60,121
14,89422,170981,110,66,113
11,94846,184173,110,76,103
6,114619,184779,111,61,104
17,125210,205841,111,67,104
10,122478,214786,111,70,105
