counter,start,storeDLT,storeKfrags,finish
0,2917,8844,118,63,110
2,3119,17683,129,66,104
15,2780,29607,109,91,106
18,12440,26773,125,93,107
14,32021,20675,112,68,113
1,31223,30438,111,65,119
11,30179,39944,114,72,113
4,32563,40284,123,72,113
6,32692,53173,110,65,115
12,30107,60135,128,62,103
13,26053,71119,119,60,106
7,25031,78991,110,70,114
3,25364,87385,191,64,117
5,18556,97753,112,64,131
16,18124,107039,110,87,108
19,27120,105190,115,61,104
8,37746,95414,112,70,108
17,46992,94516,128,62,105
10,91372,3263,117,61,114
9,87109,13241,110,68,106
