counter,start,storeDLT,storeKfrags,finish
0,2828,4729,110,68,103
7,3193,14233,117,71,102
1,3372,24434,112,67,102
3,2941,33370,112,68,102
8,20423,27473,120,59,108
4,29409,27260,111,68,106
5,29716,37361,115,63,114
2,37805,38790,136,66,102
6,37728,44524,110,64,111
19,36951,54348,111,60,102
9,34998,61643,125,77,102
10,35280,69033,117,66,102
12,24325,77774,114,69,103
17,27188,87430,110,67,102
13,24479,95045,112,63,101
14,24124,94237,118,69,116
18,30829,96108,215,74,115
11,34816,92394,114,70,103
16,62647,4582,126,62,125
15,42836,12661,110,66,106
