counter,start,storeDLT,storeKfrags,finish
0,2828,9300,112,66,109
7,3193,16107,115,65,108
1,3372,25428,126,61,101
3,2941,34702,114,62,103
8,20423,27916,112,67,104
4,29409,23873,113,70,105
5,29716,37914,112,64,105
2,37805,34895,110,63,102
6,37728,45861,111,69,101
19,36951,51242,109,69,124
9,34998,62976,113,66,109
10,35280,71519,117,68,102
12,24325,80216,111,64,109
17,27188,88440,110,71,101
13,24479,96538,112,66,109
14,24124,95681,112,67,103
18,30829,97121,112,62,122
11,34816,94636,112,66,104
16,62647,5812,129,59,102
15,42836,15103,113,65,111
