counter,start,storeDLT,storeKfrags,finish
0,1785,3525,119,69,110
1,11827,6787,132,64,108
4,10634,18485,117,72,112
3,10289,25474,124,78,128
8,10999,34761,119,69,116
17,9122,43290,117,73,114
2,10124,52327,132,80,117
7,9206,60907,126,61,115
15,9054,69788,125,63,119
10,4933,79258,121,72,118
11,59867,33053,117,73,109
5,86659,14951,120,67,107
19,85836,24218,122,80,110
6,78063,33211,116,65,116
18,48800,42072,127,71,108
14,42935,51043,115,71,112
9,38897,60031,117,72,118
13,21071,58954,116,69,114
16,30490,4316,122,64,114
12,29383,13111,129,73,115
