counter,start,storeDLT,storeKfrags,finish
0,2822,11539,112,68,111
1,2792,18888,111,65,103
5,20598,10817,121,71,120
18,17774,18316,110,61,103
2,16791,31142,111,67,115
7,16985,39638,110,58,139
3,9961,49859,113,66,109
6,10563,59310,116,63,106
4,8337,70272,109,70,128
9,61126,23568,111,59,106
11,69619,22290,118,61,103
8,71415,32459,119,65,102
14,66732,42661,110,64,102
10,58112,49182,111,64,109
12,64486,63053,113,65,113
15,48461,72491,111,79,114
13,42750,81035,111,61,107
19,42879,90394,113,62,106
16,33592,100025,111,61,133
17,94265,8916,114,63,106
