counter,start,storeDLT,storeKfrags,finish
0,4886,11309,295,232,115
2,12761,9972,117,93,151
13,11342,15040,112,65,107
7,10342,24507,122,87,102
8,14179,30309,110,67,105
10,11570,31943,143,64,233
5,14011,35797,131,71,104
3,13419,44532,122,88,107
16,11525,56896,109,68,361
1,12966,62029,113,65,103
4,14322,59164,112,58,103
6,18748,68340,117,67,123
12,15217,68488,112,66,127
19,-1,-1,-1,-1,-1
9,444441,48682,1394,410,452
17,423854,50442,286,118,483
18,451845,123511,146,88,107
11,441049,123943,110,61,102
15,369580,127888,108,72,176
14,463833,135340,110,64,117
