counter,start,storeDLT,storeKfrags,finish
0,2644,4820,112,66,114
1,2672,8587,116,71,106
15,2453,12791,112,63,113
19,2561,16637,110,64,112
5,2595,19769,124,66,105
4,16700,10681,110,59,109
13,19020,12290,109,63,103
2,21553,12272,124,72,104
3,16676,16502,110,68,109
9,13029,20850,114,68,107
6,12600,15617,113,65,107
11,19283,12935,110,66,106
8,21691,13100,111,67,109
14,20061,16813,112,68,113
16,16361,21085,109,68,105
7,11630,19418,118,69,105
12,11610,24532,114,72,107
17,15469,23223,110,59,107
18,21222,3938,116,70,102
10,2585,4902,113,75,107
