counter,start,storeDLT,storeKfrags,finish
0,2644,5620,111,68,119
1,2672,9599,110,64,105
15,2453,13788,121,67,108
19,2561,17658,120,61,103
5,2595,21812,109,72,129
4,16700,11683,111,63,112
13,19020,13316,119,67,105
2,21553,13322,111,64,110
3,16676,17395,122,70,102
9,13029,21967,111,69,120
6,12600,18120,118,64,106
11,19283,13693,111,58,105
8,21691,13547,111,64,110
14,20061,17817,112,72,113
16,16361,21967,109,66,110
7,11630,20447,109,63,110
12,11610,26313,114,63,109
17,15469,25212,115,59,108
18,21222,4713,111,63,129
10,2585,4900,116,79,110
