counter,start,storeDLT,storeKfrags,finish
0,2620,4576,116,67,111
4,2525,10011,110,64,105
6,2555,13573,111,70,104
8,2449,17729,109,60,101
2,2635,22626,114,65,103
1,2913,26035,110,67,107
3,26601,5593,110,71,102
9,22089,9742,183,67,102
16,21486,14354,111,75,104
13,21307,19754,114,63,103
12,6574,22719,115,66,116
5,11364,17775,123,70,103
14,23808,9030,109,67,110
10,22855,13208,111,66,109
15,21526,17878,111,67,107
7,12827,16914,112,68,109
11,15473,5533,112,66,111
18,2535,7899,110,60,102
17,2576,4682,112,64,105
19,2556,5357,115,62,102
