counter,start,storeDLT,storeKfrags,finish
0,2725,4710,114,67,104
4,5722,4590,118,62,103
11,4072,7813,120,61,103
3,3984,10922,116,65,112
15,2907,14679,114,73,104
1,2489,16492,110,58,101
6,2482,20102,110,62,104
13,12307,14794,109,61,101
7,15228,13595,109,66,104
5,20098,8818,113,64,107
18,18128,12824,110,69,105
9,14548,16048,114,64,114
16,12493,13948,111,67,110
19,13843,3913,110,58,103
8,13155,6007,115,72,110
2,11405,8934,109,67,102
12,5751,4370,112,63,105
17,2577,5555,110,61,104
14,2638,4676,111,68,105
10,2584,4786,117,69,105
