counter,start,storeDLT,storeKfrags,finish
0,2330,2242,18,18,11
1,2290,4098,196,195,147
8,2401,5419,39,23,10
5,2290,7821,97,43,18
3,2368,10404,28,76,55
2,7761,2265,15,27,19
7,4791,4029,318,183,110
6,3653,6323,18,33,16
9,3916,8404,31,18,10
4,7341,3296,31,25,16
