counter,start,storeDLT,storeKfrags,finish
1,1144,1268,63,40,93,10
0,1131,1445,52,20,49,43
2,1109,2317,6,7,9,15
7,1330,2166,5,7,12,13
14,1059,2345,19,15,21,20
3,2240,1682,6,7,9,5
5,2723,1423,6,10,25,33
17,1084,1506,5,7,10,7
16,1100,1139,10,10,14,6
9,1519,1716,6,9,10,6
18,1741,1370,10,13,38,14
15,1131,1721,14,9,17,10
11,1177,2576,9,8,12,12
4,1057,2904,13,5,10,6
6,1080,1351,10,36,47,26
13,1095,2535,21,24,32,10
10,1129,1437,12,10,15,6
12,1058,1283,6,7,14,5
8,1757,1139,6,5,8,9
19,1224,1758,11,9,15,5
