counter,start,storeDLT,storeKfrags,finish
0,2838,8768,113,83,103
1,2765,15674,111,71,102
5,1781,24695,120,65,108
3,11706,25341,115,67,102
2,20867,27381,111,64,103
14,23502,27579,109,69,103
19,22923,34458,112,65,105
10,26722,43814,117,57,111
6,23506,53087,116,65,116
9,30620,53944,131,78,102
16,28553,63596,121,60,103
8,24718,69538,115,68,134
7,29150,78818,121,62,103
4,27446,78975,118,61,104
11,25291,86801,113,66,102
18,56101,61133,174,58,101
17,53846,68671,120,66,104
15,81080,23753,110,62,102
13,61012,32341,115,64,126
12,44107,22371,122,65,107
