counter,start,storeDLT,storeKfrags,finish
0,1864,8059,119,57,107
1,2923,14608,110,66,111
5,20777,9272,109,69,102
3,18998,20835,118,70,107
8,17895,31310,118,78,106
2,16365,38204,113,64,104
7,16527,50278,114,65,102
6,11713,61949,113,64,102
11,12290,72567,115,68,105
4,8773,87257,111,74,107
9,13754,96796,112,66,101
14,6574,106507,118,67,101
10,6526,115834,113,64,103
15,49861,85340,114,61,106
16,61232,87609,111,64,106
13,82992,74615,114,59,101
17,106435,39428,112,65,108
12,100276,48044,110,66,102
19,85353,38167,111,62,107
18,79468,46656,117,63,106
