counter,start,storeDLT,storeKfrags,finish
0,1864,11176,117,68,104
1,2923,20424,121,65,102
5,20777,17705,119,65,103
3,18998,25398,112,67,111
8,17895,36938,117,65,103
2,16365,42760,111,71,101
7,16527,58557,110,63,120
6,11713,71769,112,65,103
11,12290,79337,111,67,108
4,8773,90028,112,60,102
9,13754,101666,111,59,102
14,6574,112501,116,62,103
10,6526,122514,120,70,111
15,49861,90124,113,65,107
16,61232,87718,112,69,125
13,82992,78894,111,82,109
17,106435,43648,114,64,115
12,100276,55147,121,63,101
19,85353,41165,112,70,103
18,79468,53759,111,64,105
