counter,start,storeDLT,storeKfrags,finish
0,2303,5033,37,293,150
8,2306,4934,101,170,109
4,2373,7393,62,66,65
7,2662,8648,152,66,30
2,2749,10321,14,17,11
1,10361,2898,428,242,35
5,9740,3306,34,230,137
6,2302,3270,51,98,55
9,2270,3354,23,18,6
3,2345,3109,51,105,6
