counter,start,storeDLT,storeKfrags,finish
0,2654,4640,111,63,112
3,2522,7926,126,68,107
13,2650,12091,117,68,108
1,2585,16328,114,69,112
4,2670,19455,126,64,125
12,22508,5737,112,63,104
18,21760,10106,126,67,112
5,18648,15519,149,81,108
2,23773,17742,120,65,104
9,18695,22160,110,67,110
8,23713,25599,111,60,105
11,14327,30263,108,66,109
7,11194,34279,147,65,119
6,7672,38592,111,58,107
16,11214,41652,169,65,104
15,6671,46419,110,69,107
17,10523,51504,113,69,109
19,39053,4883,112,77,105
14,31911,7977,118,63,105
10,12427,11204,109,68,107
