counter,start,storeDLT,storeKfrags,finish
0,2848,7904,120,64,126
10,4896,14062,120,66,107
7,3760,19724,112,66,114
2,5973,27480,110,82,114
5,5769,31461,109,64,126
18,6789,33448,117,61,115
4,13165,41056,114,64,110
12,12877,45013,113,76,107
19,38216,28591,1345,756,474
3,43378,37026,110,65,114
1,45881,51278,111,66,162
16,39604,69342,113,60,154
8,45339,105175,122,60,178
9,49208,120463,111,60,172
6,58256,126246,164,59,104
17,30246,142828,122,61,134
13,50309,145147,110,59,137
15,56942,149051,123,65,133
14,46892,154609,112,71,119
11,51929,166959,112,59,125
