counter,start,storeDLT,storeKfrags,finish
0,2901,4674,120,59,105
1,11331,4301,110,63,103
17,10682,15896,119,68,107
10,10912,26833,113,68,106
3,10343,38277,111,74,109
2,9530,47217,110,61,104
5,7835,57859,113,65,105
4,25799,49297,108,65,105
6,59225,21420,109,64,109
7,59937,29637,122,80,106
12,53241,41838,117,68,107
18,48111,52220,140,62,105
15,46767,57812,175,63,104
14,40949,61130,119,68,111
19,44780,74170,110,67,113
8,31789,82528,110,65,117
11,39892,92720,110,63,103
13,27225,103396,110,73,104
9,23460,114105,110,67,111
16,67800,9685,109,63,116
