counter,start,storeDLT,storeKfrags,finish
0,2654,3523,112,66,107
3,2522,8370,112,69,115
13,2650,12537,120,66,117
1,2585,16778,109,62,113
4,2670,19677,114,72,104
12,22508,6773,111,83,108
18,21760,10438,119,64,110
5,18648,14979,121,67,107
2,23773,20085,108,61,104
9,18695,22595,109,63,107
8,23713,27055,110,64,114
11,14327,31134,112,70,113
7,11194,35366,113,71,131
6,7672,38021,110,59,102
16,11214,42187,113,65,107
15,6671,48777,113,67,108
17,10523,52389,109,71,114
19,39053,5323,117,87,106
14,31911,7549,109,61,106
10,12427,12763,109,62,113
