counter,start,storeDLT,storeKfrags,finish
0,4551,7506,119,74,170
1,6406,13666,139,100,111
6,4889,19523,110,64,117
9,5550,24727,114,76,105
3,9727,25804,123,87,109
4,10856,29314,112,64,103
15,10653,34867,113,61,105
8,13498,38482,109,73,101
18,25636,31770,128,66,103
2,22323,36968,110,73,104
7,25324,36233,178,346,108
10,35845,30346,111,59,103
12,42092,29468,109,61,102
5,41287,35621,114,75,102
14,32580,23688,113,70,108
13,29089,22791,113,62,101
19,34224,16240,108,92,105
17,22412,10802,131,63,117
16,21205,22366,114,187,104
11,17363,10708,153,109,101
