counter,start,storeDLT,storeKfrags,finish
2,4014,6628,109,66,113
0,9010,12075,110,71,108
10,6947,19473,120,65,104
1,9410,27253,119,65,111
8,6018,38363,111,71,108
6,7936,40185,115,69,106
16,3949,44031,120,64,105
3,3759,50496,111,68,119
7,48591,13957,111,71,110
4,52160,14887,111,71,107
5,53897,15641,110,58,113
9,42667,21837,117,70,108
13,51538,33697,112,72,107
12,44866,36797,111,62,107
11,48808,42608,110,74,105
17,44019,49118,114,69,108
14,49963,5500,113,63,125
15,38340,9735,111,65,113
18,-1,-1,-1,-1,-1
19,48573,-1,-1,-1,-1
