counter,start,storeDLT,storeKfrags,finish
0,2860,7358,119,66,102
2,3026,16112,112,68,102
5,3499,27308,110,106,101
3,3730,34512,111,69,102
7,3527,43672,112,70,106
10,3801,53980,117,66,103
4,3997,65533,121,59,102
1,42292,36420,117,60,105
12,71351,19537,135,63,102
14,67431,29306,110,66,114
18,66264,37882,120,65,102
9,61290,47938,116,72,107
16,49895,56454,112,64,113
6,50305,66266,114,77,101
8,44468,64840,112,67,109
15,44490,74399,115,65,104
13,41230,83762,114,64,102
19,39759,97643,113,64,108
11,32251,101094,117,62,102
17,2903,4429,110,71,103
