counter,start,storeDLT,storeKfrags,finish
15,3082,2481,112,64,152
0,4010,5637,109,82,113
4,3896,9729,114,63,104
1,3719,12906,111,66,130
11,3897,16006,185,74,111
6,2433,19733,169,74,106
7,19549,5439,109,74,104
13,18018,6085,113,69,107
2,16897,8074,108,65,114
8,14991,11150,112,62,102
3,10456,14207,110,59,108
18,6757,16507,111,75,111
5,17277,4159,117,64,106
9,16829,7273,119,82,105
12,2625,2402,117,59,105
16,2701,3533,119,67,104
19,2705,2661,110,67,113
14,1619,4749,112,85,112
17,2842,2561,111,60,106
10,2604,2551,111,68,109
