counter,start,storeDLT,storeKfrags,finish
1,10114,9448,125,68,113
14,8399,18222,118,76,106
4,11726,27716,115,62,107
8,8552,40585,121,63,114
2,7058,48941,116,66,108
0,12077,65964,121,66,108
15,25113,51426,132,68,114
11,25036,63956,114,73,109
3,53335,45454,118,75,111
7,64209,43814,119,71,112
16,61382,53654,136,67,107
5,64416,67991,122,77,109
6,70172,76366,114,69,155
17,56616,84537,115,65,109
12,53416,84524,115,67,117
10,46851,94675,123,81,115
9,52380,103670,121,69,111
13,46949,98003,127,78,112
19,78980,54391,119,69,114
18,88847,51872,116,60,108
