counter,start,storeDLT,storeKfrags,finish
0,2789,5922,111,67,106
1,2817,15232,111,62,108
2,2879,24792,132,68,102
4,3314,31708,116,71,107
5,3354,40607,109,60,103
15,20624,35128,111,64,103
13,20726,43584,112,69,106
18,20913,51419,115,66,110
3,46560,36867,111,73,109
8,38764,42622,123,62,104
16,38178,51135,110,68,105
19,37617,61264,117,63,113
11,33303,70509,111,64,107
12,53704,52162,112,64,109
14,54951,60313,109,78,106
7,52426,67946,111,65,127
6,48401,76680,111,70,106
17,46485,83895,112,64,131
9,47786,90159,119,69,105
10,83381,5515,111,65,108
