counter,start,storeDLT,storeKfrags,finish
2,4014,7687,110,63,106
0,9010,17014,112,71,116
10,6947,22026,119,66,109
1,9410,29937,110,69,107
8,6018,31659,122,68,106
6,7936,39398,110,92,112
16,3949,46942,121,87,111
3,3759,53862,111,67,109
7,48591,16545,110,59,104
4,52160,15863,115,66,107
5,53897,19525,117,72,109
9,42667,27070,112,68,110
13,51538,28173,110,60,106
12,44866,36360,115,72,113
11,48808,44506,115,72,111
17,44019,51975,110,65,119
15,38340,10331,174,64,106
14,49963,12498,111,60,118
18,-1,-1,-1,-1,-1
19,48573,-1,-1,-1,-1
